NAME,RATING,GENRE,YEAR,RELEASED DATE,SCORE,VOTES,DIRECTOR,WRITER,STAR,COUNTRY,BUDGET,GROSS,COMPANY ,RUNTIME
The Shining,R,Drama,1980,6/13/1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000,46998772.00,Warner Bros.,146
The Blue Lagoon,R,Adventure,1980,7/2/1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000,58853106.00,Columbia Pictures,104
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,6/20/1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000,538375067.00,Lucasfilm,124
Airplane!,PG,Comedy,1980,7/2/1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000,83453539.00,Paramount Pictures,88
Caddyshack,R,Comedy,1980,7/25/1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000,39846344.00,Orion Pictures,98
Friday the 13th,R,Horror,1980,5/9/1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000,39754601.00,Paramount Pictures,95
The Blues Brothers,R,Action,1980,6/20/1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,United States,27000000,115229890.00,Universal Pictures,133
Raging Bull,R,Biography,1980,12/19/1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000,23402427.00,Chartoff-Winkler Productions,129
Superman II,PG,Action,1980,6/19/1981,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000,108185706.00,Dovemead Films,127
The Long Riders,R,Biography,1980,5/16/1980,7,10000,Walter Hill,Bill Bryden,David Carradine,United States,10000000,15795189.00,United Artists,100
Any Which Way You Can,PG,Action,1980,12/17/1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000,70687344.00,The Malpaso Company,116
The Gods Must Be Crazy,PG,Adventure,1980,10/26/1984,7.3,54000,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000,30031783.00,C.A.T. Films,109
Popeye,PG,Adventure,1980,12/12/1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000,49823037.00,Paramount Pictures,114
Ordiry People,R,Drama,1980,9/19/1980,7.7,49000,Robert Redford,Jules Feiffer,Dold Sutherland,United States,6000000,54766923.00,Paramount Pictures,124
Dressed to Kill,R,Crime,1980,7/25/1980,7.1,37000,Brian De Palma,Jules Feiffer,Michael Caine,United States,6500000,31899000.00,Filmways Pictures,104
Somewhere in Time,PG,Drama,1980,10/3/1980,7.2,27000,Jeannot Szwarc,Jules Feiffer,Christopher Reeve,United States,5100000,9709597.00,Rastar Pictures,103
Fame,R,Drama,1980,5/16/1980,6.6,21000,Alan Parker,Jules Feiffer,Eddie Barth,United States,,21202829.00,Metro-Goldwyn-Mayer (MGM),134
9 to 5,PG,Comedy,1980,12/19/1980,6.9,29000,Colin Higgins,Jules Feiffer,Jane Fonda,United States,10000000,103300686.00,IPC Films,109
The Fog,R,Horror,1980,2/8/1980,6.8,66000,John Carpenter,Jules Feiffer,Adrienne Barbeau,United States,1000000,21448782.00,AVCO Embassy Pictures,89
Stir Crazy,R,Comedy,1980,12/12/1980,6.8,26000,Sidney Poitier,Jules Feiffer,Gene Wilder,United States,,101300000.00,Columbia Pictures,111
Cruising,R,Crime,1980,2/15/1980,6.5,20000,William Friedkin,Jules Feiffer,Al Pacino,West Germany,11000000,19814523.00,Lorimar Film Entertainment,102
Heaven's Gate,R,Adventure,1980,4/24/1981,6.8,14000,Michael Cimino,Jules Feiffer,Kris Kristofferson,United States,44000000,3484523.00,Partisan Productions,219
